,coefs
zipcode98002,-0.106
zipcode98032,-0.098
zipcode98023,-0.097
zipcode98003,-0.082
zipcode98092,-0.073
zipcode98022,-0.071
zipcode98042,-0.065
zipcode98030,-0.064
zipcode98198,-0.062
zipcode98168,-0.060
zipcode98031,-0.058
zipcode98188,-0.048
zipcode98148,-0.031
zipcode98178,-0.029
zipcode98055,-0.028
zipcode98058,-0.020
zipcode98038,-0.018
floors,-0.008
yr_built,-0.001
nyrs_since_last_renovation,0.000
sqft_lot,0.000
sqft_above,0.000
sqft_living15,0.000
sqft_living,0.000
daten,0.000
bedrooms,0.002
bathrooms,0.017
zipcode98146,0.020
zipcode98010,0.022
condition,0.024
view,0.025
grade,0.042
zipcode98056,0.043
zipcode98166,0.046
zipcode98106,0.047
zipcode98019,0.048
zipcode98070,0.049
zipcode98045,0.049
zipcode98059,0.050
zipcode98014,0.051
zipcode98108,0.056
zipcode98024,0.080
zipcode98065,0.081
zipcode98028,0.086
zipcode98155,0.091
zipcode98118,0.093
zipcode98077,0.099
zipcode98133,0.100
zipcode98011,0.102
zipcode98072,0.115
zipcode98027,0.122
zipcode98126,0.133
zipcode98034,0.139
zipcode98075,0.140
zipcode98125,0.145
zipcode98074,0.149
zipcode98053,0.160
zipcode98177,0.160
zipcode98029,0.163
zipcode98006,0.170
zipcode98052,0.180
zipcode98008,0.182
zipcode98007,0.184
zipcode98144,0.185
zipcode98136,0.191
waterfront,0.206
zipcode98116,0.223
zipcode98005,0.227
zipcode98033,0.240
zipcode98122,0.245
zipcode98103,0.250
zipcode98115,0.251
zipcode98117,0.252
zipcode98107,0.257
zipcode98040,0.270
zipcode98199,0.270
zipcode98105,0.297
zipcode98102,0.305
zipcode98119,0.315
zipcode98109,0.323
zipcode98112,0.335
zipcode98004,0.380
zipcode98039,0.424
