"","coefs"
"zipcode98032",-0.172170088698967
"zipcode98002",-0.167412957863265
"zipcode98023",-0.166008797930683
"zipcode98003",-0.146720267944439
"zipcode98092",-0.140167143475941
"zipcode98022",-0.139077084358486
"zipcode98198",-0.133560548318317
"zipcode98030",-0.13144990382536
"zipcode98042",-0.127817181710967
"zipcode98168",-0.123332781470588
"zipcode98031",-0.120411280016133
"zipcode98188",-0.11176190522164
"zipcode98055",-0.0995227742940053
"zipcode98178",-0.098577470667723
"zipcode98058",-0.0885148085542858
"zipcode98038",-0.0856540128657759
"zipcode98148",-0.080519583122553
"zipcode98010",-0.0484947215117206
"zipcode98146",-0.0394989433415636
"zipcode98166",-0.0324883169296474
"zipcode98056",-0.0313219244506449
"zipcode98106",-0.0274196559101125
"zipcode98014",-0.0256893563568175
"zipcode98045",-0.0198448701301791
"zipcode98070",-0.0194732017833237
"zipcode98108",-0.0181557832502097
"zipcode98059",-0.0161398707246582
"zipcode98019",-0.0157439924465625
"yr_built",-0.000451403489401968
"floors",-0.000428294665264751
"nyrs_since_last_renovation",-0.0000153229069190698
"sqft_lot15",0.00000000753242397192261
"sqft_lot",0.000000222437892430186
"sqft_basement",0.0000213571958322683
"sqft_living",0.0000371672232007903
"sqft_above",0.0000394994137666279
"sqft_living15",0.0000400818244604919
"daten",0.000083806704754825
"bedrooms",0.00133863382981979
"zipcode98065",0.00540318187545875
"zipcode98118",0.0142378405618843
"zipcode98028",0.015648407903505
"zipcode98155",0.0170743298267858
"zipcode98024",0.0184004154763297
"bathrooms",0.0206289968251248
"condition",0.0229674174602777
"zipcode98133",0.0255143835900551
"view",0.0256996229138301
"zipcode98011",0.02581402099152
"zipcode98077",0.0286277364786348
"grade",0.0410397384516002
"zipcode98072",0.0432969120894203
"zipcode98126",0.0508753056225756
"zipcode98027",0.0527256266222238
"zipcode98034",0.0613319105302553
"zipcode98075",0.0649530315597639
"zipcode98125",0.0662128776775884
"zipcode98074",0.0726251983682819
"zipcode98177",0.0840997715527078
"zipcode98053",0.0856579229810225
"zipcode98029",0.08798651069782
"zipcode98144",0.096682202608091
"zipcode98006",0.0990012882606865
"zipcode98136",0.10328467161628
"zipcode98007",0.105406008786105
"zipcode98008",0.105757944821532
"zipcode98052",0.106210826570346
"zipcode98005",0.131347986600865
"zipcode98116",0.135958419017791
"zipcode98122",0.151006895420395
"zipcode98103",0.156367726923039
"zipcode98033",0.15741814525572
"zipcode98117",0.160086298861833
"zipcode98107",0.161516683504154
"zipcode98115",0.162689907935074
"zipcode98199",0.178786881482595
"zipcode98040",0.182017005558918
"waterfront",0.183356256501929
"zipcode98105",0.208284234808525
"zipcode98102",0.209522715155435
"zipcode98119",0.211891128581274
"zipcode98109",0.233803842773365
"zipcode98112",0.24652983465629
"zipcode98004",0.281353555502546
"zipcode98039",0.340344127074485
