"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","nyrs_since_last_renovation","zipcode","sqft_living15","sqft_lot15","daten"
"2498",3e+05,6,3,2400,9373,2,0,0,3,7,2400,0,1991,24,"98002",2060,7316,355
"6736",647500,4,1.75,2060,26036,1,0,0,4,8,1160,900,1947,68,"98166",2590,21891,6
"8412",4e+05,3,1,1460,43000,1,0,0,3,7,1460,0,1952,63,"98166",2250,20023,101
"8810",235000,3,1,1430,7599,1.5,0,0,4,6,1010,420,1930,85,"98168",1290,10320,334
"3558",402500,4,2,1650,3504,1,0,0,3,7,760,890,1951,2,"98144",1480,3504,321
"18522",680000,4,2.75,2220,5310,1,0,0,5,7,1170,1050,1951,64,"98144",1540,4200,332
"3201",178000,5,1.5,1990,18200,1,0,0,3,7,1990,0,1960,55,"98178",1860,8658,298
"21064",487000,4,2.5,2540,5001,2,0,0,3,9,2540,0,2005,10,"98108",2360,6834,68
"4334",281000,3,1,1340,21336,1.5,0,0,4,5,1340,0,1945,70,"98032",1340,37703,194
"16716",239000,4,2,1980,10585,1.5,0,0,2,6,1980,0,1924,91,"98055",1360,7810,186
"16816",175000,2,1,840,12750,1,0,0,3,6,840,0,1925,90,"98055",1480,6969,357
"8509",299800,2,1,790,5240,1,0,0,4,6,790,0,1925,90,"98118",1430,5320,19
"4482",520000,3,2,1410,2700,2,0,0,4,7,1410,0,1902,113,"98122",1750,4000,95
"20484",465000,3,2.25,1530,1245,2,0,0,3,9,1050,480,2014,1,"98122",1530,2307,34
"10422",630000,5,1,3020,4800,2,0,0,3,7,3020,0,1901,114,"98122",1350,1307,230
"20787",411000,2,2,1130,1148,2,0,0,3,9,800,330,2007,8,"98122",1350,1201,77
"8678",496000,2,1,1420,4635,2,0,0,4,7,1420,0,1941,42,"98115",1810,4635,215
"10545",570000,3,2.5,1530,3296,2,0,0,3,8,1530,0,1998,17,"98007",1530,4099,80
"16796",546000,3,2.5,1530,3464,2,0,0,3,8,1530,0,1998,17,"98007",1530,3446,38
"12063",617000,3,2.5,1910,4488,2,0,0,3,8,1910,0,1998,17,"98007",1530,3696,144
"13566",635000,3,2.5,3350,4007,2,0,0,3,8,2550,800,2005,10,"98034",2340,4167,59
"11950",872750,3,2.5,2870,13695,2,0,0,3,10,2870,0,1991,24,"98052",2840,8472,361
"438",843000,3,2.5,3130,8750,2,0,0,3,10,3130,0,1991,24,"98052",2860,9003,314
"1091",837700,5,2.75,3010,12611,2,0,0,3,10,3010,0,1994,21,"98052",2890,9456,46
"6882",715000,3,3.25,3060,9055,2,0,0,3,10,2460,600,1994,21,"98052",2990,9598,203
"14955",795000,3,3.5,3190,10223,2,0,0,3,10,2560,630,1994,21,"98052",3120,9735,123
